model,term,estimate,ci_low,ci_high,p_value,n,r_squared,adj_r_squared,stability,std_beta,std_ci_low,std_ci_high,dimension,fdr_p_value
trust,trust_z,-0.17473323046590616,-0.47356069868393774,0.12409423775212541,0.25177499222476596,45,0.17705024426346105,0.0947552686898071,standard,-0.20199895869920104,-0.5474560720932038,0.14345815469480178,trust,0.5664937325057234
perceived_usefulness,perceived_usefulness_z,-0.2097874991397451,-0.5427910475891986,0.12321604930970842,0.21692377205748303,45,0.1766924973420756,0.09436174707628309,standard,-0.24252316666580823,-0.627489265275503,0.14244293194388652,perceived_usefulness,0.5664937325057234
perceived_ease_of_use,perceived_ease_of_use_z,-0.2584649246669142,-0.541268750109,0.024338900775171646,0.07324774599539671,45,0.21855347668452274,0.14040882435297497,standard,-0.2987963165550883,-0.6257294254041138,0.028136792293937132,perceived_ease_of_use,0.3296148569792852
behavioral_intention,behavioral_intention_z,-0.1573621218418239,-0.605663108871215,0.2909388651875672,0.49146259712525286,45,0.16242595833639517,0.0786685541700346,standard,-0.18191722699791488,-0.7001720107176626,0.3363375567218328,behavioral_intention,0.6699204789541362
hedonic_motivation,hedonic_motivation_z,-0.060642334325163694,-0.29113831864445183,0.16985364999412442,0.6060942241955865,45,0.14223012037051275,0.056453132407564,standard,-0.07010508736151383,-0.3365681333012976,0.19635795857826988,hedonic_motivation,0.6699204789541362
locus_of_control,locus_of_control_z,-0.4828225881505007,-0.7337061272943268,-0.2319390490066746,0.00016199038910304968,45,0.4320295281782247,0.3752324809960471,standard,-0.558163205606642,-0.8481951218408664,-0.26813128937241765,locus_of_control,0.001457913501927447
facilitating_conditions,facilitating_conditions_z,-0.06518511326534832,-0.30619938244348494,0.1758291559127883,0.5960460215452924,45,0.14176869509182133,0.05594556460100342,standard,-0.07535673075568208,-0.3539793560904312,0.20326589457906702,facilitating_conditions,0.6699204789541362
social_influence,social_influence_z,-0.08413418370396458,-0.38668449387171816,0.218416126463789,0.5857306697920943,45,0.14639940326289858,0.06103934358918839,standard,-0.0972626526384985,-0.44702352780260307,0.25249822252560605,social_influence,0.6699204789541362
attitude,attitude_z,-0.08503167318295145,-0.4760140123061167,0.30595066594021375,0.6699204789541362,45,0.14557871953273427,0.060136591486007585,standard,-0.09830018819893793,-0.5502922057566252,0.35369182935874927,attitude,0.6699204789541362
